mode,seed,snr,score,R_before,R_after,dR,CR,p2r,gateN
hypothesis,1001,0.06324520985478244,13.261678534878987,0.22386796050542052,0.49407407827544525,0.2702061177700247,0.9999486320222162,13.262359425204867,2293.845291190007
hypothesis,1002,0.06324520985493126,13.238160408947465,0.22384269266212226,0.49672466781319413,0.27288197515107193,0.9999485729466054,13.238840985476976,2293.846583112243
hypothesis,2001,0.06324520985332896,13.2621006884299,0.2237428050010259,0.5017222705150297,0.2779794655140039,0.999948944553019,13.262777582614774,2293.832676132482
hypothesis,2002,0.06324520985482886,13.249056407559689,0.2245205250721648,0.5012301304118039,0.2767096053396392,0.9999486678325696,13.249736223987904,2293.845694605735
hypothesis,3001,0.06324520985376991,13.247712692815092,0.22315026730386214,0.49496917379442484,0.27181890649056273,0.9999485630768739,13.24839389858741,2293.8365041553284
antithesis,1001,0.06324004787623869,0.32988593566134383,0.22386796050542052,0.3636542059870381,0.1397862454816176,0.10027710620471077,3.2816400078411627,114.88441902944447
antithesis,1002,0.06323995890878956,0.32437529553996614,0.22384269266212226,0.3624452505678033,0.13860255790568102,0.09926334878705523,3.261358327043766,112.94911418898539
antithesis,2001,0.06324006694197033,0.33114201347112115,0.2237428050010259,0.37402791409871045,0.15028510909768455,0.10052906563620014,3.285960128847346,115.31188477705217
antithesis,2002,0.06324002613351717,0.3311954954650569,0.2245205250721648,0.37291098398225064,0.14839045891008584,0.10054669490607274,3.286456317351832,114.44677322955943
antithesis,3001,0.06324009495088041,0.33071251040624283,0.22315026730386214,0.35459075275455554,0.13144048545069342,0.10036514510845342,3.2862204632525964,116.2648410287591
